Have a Nice Day10,WiFire1,CLBW-Mobitel-HUAWEI-CC008,UoM_Wireless11,No_of_P
-61,-40,-68,-100,1
-41,-55,-57,-100,1
-53,-53,-59,-100,0
-53,-55,-58,-100,0
-50,-59,-66,-100,5
-56,-62,-59,-100,5
-59,-48,-78,-75,1
-41,-54,-58,-100,1
-42,-61,-65,-100,5
-57,-41,-69,-81,1
-50,-55,-60,-100,1
-43,-62,-58,-100,5
-56,-54,-62,-100,0
-49,-59,-57,-88,5
-51,-53,-56,-94,0
-63,-40,-68,-82,1
-42,-58,-66,-100,5
-55,-55,-59,-90,1
-42,-61,-59,-100,5
-53,-58,-78,-100,5
-38,-63,-60,-100,5
-52,-53,-58,-92,0
-53,-56,-56,-100,0
-55,-53,-58,-100,1
-53,-55,-52,-79,0
-50,-52,-58,-100,0
-50,-51,-59,-100,0
-52,-72,-58,-100,5
-42,-54,-60,-100,1
-61,-39,-72,-100,1
-57,-49,-64,-100,1
-53,-52,-56,-100,0
-62,-52,-59,-81,1
-51,-40,-69,-82,1
-60,-40,-68,-100,1
-53,-54,-63,-100,0
-53,-59,-57,-100,5
-43,-51,-56,-100,0
-64,-53,-66,-90,1
-40,-59,-67,-100,5
-52,-52,-61,-92,0
-54,-53,-58,-77,0
-51,-55,-61,-100,0
-53,-51,-58,-100,0
-58,-41,-75,-100,1
-58,-59,-56,-100,5
-52,-53,-58,-100,0
-50,-53,-64,-100,1
-53,-38,-63,-81,1
-49,-61,-68,-100,5
-59,-40,-63,-80,1
-53,-51,-55,-100,0
-58,-61,-57,-100,5
-60,-41,-67,-100,1
-50,-57,-59,-100,5
-53,-53,-61,-100,1
-52,-58,-60,-100,5
-53,-59,-67,-100,5
-58,-58,-65,-100,5
-54,-54,-53,-100,0
-54,-54,-56,-78,0
-40,-58,-64,-100,5
-60,-39,-68,-82,1
-41,-58,-65,-91,5
-41,-59,-58,-100,5
-56,-55,-56,-100,0
-62,-48,-64,-80,1
-61,-49,-69,-83,1
-59,-38,-68,-100,1
-43,-51,-57,-100,0
-61,-39,-68,-100,1
-58,-52,-62,-100,1
-53,-53,-65,-100,0
-40,-59,-57,-100,5
-38,-52,-58,-100,1
-58,-39,-70,-86,1
-50,-52,-66,-91,1
-42,-59,-56,-100,5
-55,-58,-58,-100,5
-45,-49,-58,-92,0
-53,-57,-66,-100,5
-60,-41,-70,-100,1
-52,-60,-56,-100,5
-42,-59,-67,-100,5
-51,-39,-60,-80,1
-50,-58,-69,-100,5
-51,-43,-55,-100,0
-56,-54,-53,-100,0
-62,-40,-69,-100,1
-43,-53,-59,-87,0
-58,-58,-64,-100,5
-40,-57,-66,-100,5
-56,-39,-59,-100,1
-52,-52,-59,-100,0
-41,-53,-65,-100,1
-52,-53,-60,-100,0
-54,-54,-57,-75,0
-59,-47,-59,-100,1
-41,-60,-56,-100,5
-52,-54,-65,-100,0
-53,-44,-59,-100,0
-54,-41,-70,-100,1
-62,-39,-65,-82,1
-53,-53,-61,-100,0
-53,-55,-56,-100,0
-50,-57,-60,-100,5
-50,-58,-62,-100,5
-38,-59,-64,-100,5
-63,-48,-70,-90,1
-58,-59,-56,-100,5
-50,-59,-69,-100,5
-56,-52,-62,-82,1
-53,-53,-58,-100,0
-41,-59,-59,-100,5
-62,-40,-68,-85,1
-52,-59,-54,-100,5
-60,-41,-59,-79,1
-55,-53,-57,-100,0
-41,-61,-55,-91,5
-52,-40,-68,-81,1
-41,-52,-57,-92,0
-41,-59,-64,-100,5
-54,-53,-57,-100,0
-53,-44,-58,-100,0
-60,-38,-67,-100,1
-49,-61,-62,-100,5
-55,-54,-56,-100,0
-53,-53,-63,-100,0
-54,-59,-60,-100,5
-60,-39,-71,-100,1
-61,-59,-59,-88,5
-57,-63,-67,-90,5
-55,-53,-61,-91,0
-51,-61,-63,-100,5
-39,-61,-66,-100,5
-43,-44,-55,-100,0
-51,-54,-63,-100,1
-54,-53,-58,-100,0
-60,-40,-67,-81,1
-56,-40,-67,-100,1
-52,-49,-60,-90,1
-52,-52,-58,-100,0
-51,-59,-58,-100,5
-59,-40,-62,-100,1
-54,-54,-57,-77,0
-43,-51,-61,-93,0
-53,-54,-56,-77,0
-40,-57,-57,-100,5
-42,-53,-64,-100,1
-51,-60,-63,-100,5
-53,-54,-59,-100,1
-65,-41,-61,-81,1
-57,-53,-55,-79,0
-58,-38,-69,-81,1
-60,-38,-71,-81,1
-60,-39,-71,-100,1
-53,-51,-62,-100,0
-58,-54,-56,-89,1
-42,-54,-57,-100,1
-34,-62,-59,-100,5
-39,-58,-66,-100,5
-40,-58,-55,-100,5
-52,-60,-64,-100,5
-39,-60,-61,-100,5
-41,-54,-63,-100,1
-50,-60,-65,-100,5
-55,-52,-60,-100,0
-58,-54,-58,-100,1
-41,-55,-57,-100,1
-51,-53,-57,-100,1
-52,-39,-62,-100,1
-52,-55,-58,-100,0
-52,-52,-57,-100,0
-60,-38,-68,-87,1
-53,-53,-56,-100,0
-39,-60,-66,-100,5
-51,-38,-63,-83,1
-52,-52,-58,-100,0
-48,-54,-60,-100,1
-42,-58,-64,-100,5
-52,-54,-57,-100,0
-59,-39,-69,-100,1
-39,-61,-59,-100,5
-40,-59,-64,-100,5
-42,-54,-60,-100,1
-40,-59,-68,-100,5
-50,-60,-64,-100,5
-55,-55,-56,-80,0
-60,-40,-69,-100,1
-42,-54,-62,-100,1
-60,-50,-66,-81,1
-61,-51,-68,-100,1
-52,-51,-58,-100,0
-50,-61,-60,-100,5
-61,-40,-72,-100,1
-55,-54,-59,-100,0
-55,-53,-62,-100,1
-59,-39,-70,-80,1
-52,-60,-54,-100,5
-60,-49,-66,-83,1
-54,-52,-62,-100,1
-41,-59,-65,-100,5
-52,-52,-61,-100,0
-62,-39,-64,-82,1
-52,-53,-57,-100,0
-55,-59,-58,-100,5
-52,-54,-55,-78,0
-52,-57,-68,-100,5
-65,-53,-59,-100,1
-52,-59,-59,-100,5
-50,-38,-62,-100,1
-41,-58,-56,-100,5
-63,-48,-71,-100,1
-40,-58,-62,-100,5
-51,-58,-58,-100,5
-50,-56,-58,-100,1
-53,-40,-70,-100,1
-54,-53,-56,-100,0
-66,-43,-68,-79,1
-41,-62,-66,-100,5
-54,-58,-65,-100,5
-52,-52,-54,-90,0
-53,-52,-57,-100,0
-53,-53,-59,-92,0
-53,-54,-59,-78,0
-49,-54,-59,-90,1
-59,-37,-73,-85,1
-53,-53,-55,-100,0
-55,-52,-60,-100,0
-61,-39,-69,-100,1
-42,-54,-58,-100,1
-41,-60,-71,-100,5
-54,-53,-61,-100,0
-52,-52,-58,-100,0
-53,-53,-65,-100,0
-60,-42,-68,-100,1
-53,-43,-58,-100,0
-39,-58,-68,-100,5
-59,-38,-71,-100,1
-53,-55,-55,-100,0
-38,-60,-59,-100,5
-52,-53,-55,-100,0
-53,-72,-66,-100,5
-40,-57,-63,-100,5
-39,-59,-66,-100,5
-66,-39,-59,-100,1
-60,-40,-70,-82,1
-43,-50,-62,-92,0
-52,-51,-65,-91,0
-53,-52,-55,-100,0
-39,-60,-68,-100,5
-52,-54,-55,-78,0
-56,-60,-71,-100,5
-54,-52,-58,-91,0
-39,-58,-60,-100,5
-52,-51,-65,-100,0
-38,-59,-58,-100,5
-57,-37,-68,-82,1
-54,-58,-57,-100,5
-52,-54,-58,-100,0
-52,-52,-59,-100,0
-51,-53,-62,-87,0
-38,-57,-58,-100,5
-51,-52,-56,-100,0
-39,-58,-54,-100,5
-61,-40,-66,-100,1
-64,-57,-73,-100,5
-54,-53,-56,-77,0
-49,-58,-57,-100,5
-52,-52,-57,-100,0
-55,-55,-57,-100,0
-50,-58,-58,-100,5
-49,-59,-56,-100,5
-41,-59,-59,-100,5
-51,-61,-67,-100,5
-39,-60,-58,-100,5
-41,-58,-56,-100,5
-53,-52,-57,-100,0
-53,-51,-56,-100,0
-42,-59,-59,-100,5
-53,-58,-59,-100,5
-55,-59,-63,-100,5
-62,-49,-70,-82,1
-54,-54,-59,-100,0
-51,-50,-66,-81,1
-60,-40,-71,-87,1
-39,-59,-78,-100,5
-42,-54,-62,-100,1
-52,-53,-60,-100,0
